Ano,Encabezado,Cespe,Especie,Cintiauto,Cintientrega,Epocainicio,EpocaFin
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,4,01/09/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,4,01/09/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,18,CODORNIZ CALIFORNIANA,4,4,01/09/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,23,14,25/09/2014,28/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,24,8,23/09/2015,26/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,36,11,01/09/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,36,10,01/09/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,56,11,01/09/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,72,5,01/09/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,71,15,01/09/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,71,15,01/09/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,19,CODORNIZ ELEGANTE,50,18,01/09/2022,04/02/2023
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,20,CODORNIZ ESCAMOSA,9,0,23/09/2016,26/02/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,20,CODORNIZ ELEGANTE,13,0,01/09/2017,04/02/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,20,CODORNIZ ELEGANTE,13,0,01/09/2018,04/02/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,20,CODORNIZ ELEGANTE,0,0,01/09/2019,04/02/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,20,CODORNIZ ELEGANTE,5,0,01/09/2020,04/02/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,20,CODORNIZ ELEGANTE,1,0,01/09/2021,04/02/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,20,CODORNIZ ELEGANTE,1,0,01/09/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,206,55,25/09/2014,28/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,154,40,23/09/2015,26/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,224,47,01/09/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,245,46,01/09/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,207,33,01/09/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,175,43,01/09/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,164,47,01/09/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,164,47,01/09/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,21,CODORNIZ GAMBEL,219,43,01/09/2022,04/02/2023
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,4,0,23/09/2016,26/02/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,6,0,01/09/2017,04/02/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,6,0,01/09/2018,04/02/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,0,0,01/09/2019,04/02/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,9,1,01/09/2020,04/02/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,19,5,01/09/2021,04/02/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,22,CODORNIZ MOCTEZUMAE,19,5,01/09/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,23,CONEJO,140,7,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,23,CONEJO,47,5,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,23,CONEJO,67,6,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,23,CONEJO,59,5,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,23,CONEJO,91,3,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,23,CONEJO,0,0,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,23,CONEJO,100,3,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,23,CONEJO,100,3,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,23,CONEJO,73,1,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,24,COYOTE,71,32,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,24,COYOTE,80,35,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,24,COYOTE,92,47,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,24,COYOTE,107,42,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,24,COYOTE,112,33,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,24,COYOTE,101,24,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,24,COYOTE,103,33,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,24,COYOTE,107,37,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,24,COYOTE,124,39,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,25,ELK,5,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,25,ELK,5,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,25,ELK,5,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,25,ELK,7,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,25,ELK,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,25,ELK,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,25,ELK,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,25,ELK,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,421,298,25/09/2014,27/03/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,340,316,23/09/2015,26/03/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,602,287,01/09/2016,25/03/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,447,232,01/09/2017,25/03/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,398,197,01/09/2018,25/03/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,327,94,01/09/2019,25/03/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,328,101,01/09/2020,25/03/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,328,101,01/09/2021,25/03/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,26,FAISAN DE COLLAR,256,144,01/09/2022,25/03/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,27,GAMO EUROPEO,12,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,27,GAMO EUROPEO,7,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,27,GAMO EUROPEO,5,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,27,GAMO EUROPEO,10,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,27,GAMO EUROPEO,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,27,GAMO EUROPEO,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,27,GAMO EUROPEO,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,27,GAMO EUROPEO,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,28,GANSO CANADIENSE,13,0,30/10/2015,07/02/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,28,GANSO CANADIENSE,13,0,28/10/2016,05/02/2017
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,29,GANSOS,98,55,30/10/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,29,GANSOS,79,50,28/10/2015,05/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,29,GANSOS,102,40,27/10/2016,25/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,29,GANSOS,80,44,27/10/2017,25/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,29,GANSOS,63,35,27/10/2018,25/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,29,GANSOS,41,20,27/10/2019,25/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,29,GANSOS,35,12,27/10/2020,25/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,29,GANSOS,35,12,27/10/2021,25/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,29,GANSOS,34,24,27/10/2022,25/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,30,GATO MONTES,25,15,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,30,GATO MONTES,32,9,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,30,GATO MONTES,38,19,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,30,GATO MONTES,39,22,27/10/2017,25/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,30,GATO MONTES,2,0,27/10/2018,25/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,30,GATO MONTES,4,4,27/10/2019,25/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,30,GATO MONTES,0,0,27/10/2020,25/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,30,GATO MONTES,0,0,27/10/2021,25/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,30,GATO MONTES,0,0,27/10/2022,25/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,31,GUAJOLOTE,1120,467,25/03/2014,29/05/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,31,GUAJOLOTE,1032,555,31/03/2015,28/05/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,31,GUAJOLOTE,1223,522,30/03/2016,27/05/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,31,GUAJOLOTE,1340,526,30/03/2017,27/05/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,31,GUAJOLOTE,1100,179,30/03/2017,27/05/2018
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,31,GUAJOLOTE,1427,559,30/03/2017,27/05/2018
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,31,GUAJOLOTE,195,0,30/03/2017,27/05/2018
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,31,GUAJOLOTE,1586,600,30/03/2017,27/05/2018
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,31,GUAJOLOTE,173,6,30/03/2017,27/05/2018
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4015,1562,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4208,1641,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4318,1546,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4753,1681,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,5068,1493,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4921,1322,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4889,1366,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4898,1362,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,32,JABALI DE COLLAR,4403,1473,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,41,21,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,48,24,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,50,15,25/11/2016,12/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,51,15,25/11/2017,12/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,58,12,25/11/2018,12/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,43,7,25/11/2019,12/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,0,0,25/11/2020,12/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,0,0,25/11/2021,12/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,33,JABALI DE COLLAR-CONFINAMIENTO,0,0,25/11/2022,12/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,34,LIEBRE,178,12,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,34,LIEBRE,104,6,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,34,LIEBRE,180,9,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,34,LIEBRE,176,5,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,34,LIEBRE,229,4,01/12/2018,04/02/2019
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,34,LIEBRE,0,0,01/12/2019,04/02/2020
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,34,LIEBRE,125,3,01/12/2020,04/02/2021
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,34,LIEBRE,125,3,01/12/2021,04/02/2022
2023,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2023-2024 DEL ESTADO DE SONORA,34,LIEBRE,96,1,01/12/2022,04/02/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,35,LLAMA,10,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,35,LLAMA,0,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,35,LLAMA,10,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,35,LLAMA,0,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,35,LLAMA,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,35,LLAMA,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,35,LLAMA,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,35,LLAMA,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,6,6,06/11/2014,07/02/2015
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,10,10,25/11/2015,12/02/2016
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,15,15,01/12/2016,04/02/2017
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,17,17,01/12/2017,04/02/2018
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,36,ODOC0ILEUS HEMIONUS SHELDONI,18,18,01/12/2018,04/02/2019
