Ano,Encabezado,Cespe,Especie,Cintiauto,Cintientrega,Epocainicio,EpocaFin
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,15,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,23,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,15,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,4,ANTILOPE NILGO,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,10,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,10,0,09/09/2016,28/05/2017
2017,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2017-2018 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,10,0,01/09/2017,27/05/2018
2018,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2018-2019 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,10,0,01/09/2018,27/05/2019
2019,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2019-2020 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,0,0,01/09/2019,27/05/2020
2020,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2020-2021 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,0,0,01/09/2020,27/05/2021
2021,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2021-2022 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,0,0,01/09/2021,27/05/2022
2022,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2022-2023 DEL ESTADO DE SONORA,5,ANTILOPE ÑU AZUL,0,0,01/09/2022,27/05/2023
2015,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2015-2016 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,50,0,25/09/2015,24/09/2016
2016,REPORTE DE LA FAUNA SILVESTRE DE LA TEMPORADA DE CAZA 2016-2017 DEL ESTADO DE SONORA,6,ANTILOPE ORIX CIMITARRA,45,5,09/09/2015,28/05/2016
